Timestamp,Ax,Ay,Az,P,LPFRMSAcc,LPFPValue,Value,Detection,Type
59.8,1.259499907,4.044342041,9.287325859,990.739502,9.873900747,990.729838,0,0,
59.88,1.328776836,3.741667032,9.464863777,990.7445679,9.878229011,990.7299794,0,0,
59.92,1.469750643,3.491423368,9.973809242,990.6864624,9.884900154,990.7299472,0,0,
59.96,1.591605306,3.529556513,9.041129112,990.7141113,9.890616186,990.7298614,0,0,
60,1.682391167,3.777418137,8.302558899,990.7191772,9.893451851,990.7297466,0,0,
60.04,1.362113953,3.944248676,7.635005474,990.7294312,9.891664274,990.7296436,0,0,
60.08,0.903222561,3.996681452,8.025589943,990.7445679,9.886914624,990.7296059,0,0,
60.12,0.683321118,3.88228488,8.472989082,990.7595825,9.880767241,990.72968,0,0,
60.16,0.625933111,3.784571171,9.249428749,990.7369385,9.875812622,990.7297712,0,0,
60.2,0.685650349,3.877519846,9.339379311,990.7243652,9.872369754,990.7298319,0,0,
60.24,1.008256674,4.24454546,9.372517586,990.7142944,9.871004352,990.7298292,0,0,
60.28,1.235267043,4.487640381,8.989027977,990.7015991,9.870703692,990.7297247,0,0,
60.32,1.230456948,4.535306931,9.064775467,990.7243652,9.871661093,990.7296126,0,0,
60.36,0.943638325,4.111083984,9.292023659,990.7445679,9.873705507,990.7295669,0,0,
60.4,0.994370103,4.027655602,9.166611671,990.7344971,9.87618868,990.7295439,0,0,
60.44,0.88740325,3.920394182,8.83999157,990.7495728,9.877787926,990.7295952,0,0,
60.48,0.906538963,3.925160408,8.825790405,990.7546387,9.878567152,990.7297303,0,0,
60.52,1.193343639,4.161104202,9.164301872,990.7191772,9.880179729,990.7298112,0,0,
60.56,1.064305305,4.184936523,8.974925995,990.7191772,9.881890891,990.729844,0,0,
60.6,0.822941661,4.0467062,8.920481682,990.7293701,9.883215907,990.7298708,0,0,
60.64,0.975911856,4.287416935,8.679029465,990.7090454,9.883832706,990.729819,0,0,
60.68,0.677190542,4.161102772,8.638789177,990.734314,9.883401259,990.7297891,0,0,
60.72,0.435826898,3.844126463,9.081456184,990.7546387,9.882976015,990.7298516,0,0,
60.76,0.349806905,3.736878633,8.941793442,990.7294312,9.881932698,990.7299049,0,0,
60.8,0.488437653,3.667762995,8.870779037,990.6990356,9.88003742,990.7298404,0,0,
60.84,0.629458249,3.722578049,9.225859642,990.7142944,9.878681086,990.729727,0,0,
60.88,0.57211709,3.620096684,8.93943119,990.7494507,9.876701008,990.7296974,0,0,
60.92,0.591252744,3.479482889,9.339489937,990.7369995,9.87533808,990.7296971,0,0,
60.96,0.634287417,3.527148008,9.043591499,990.7217407,9.873602572,990.7296677,0,0,
61,0.703611016,3.667761087,8.735856056,990.7218628,9.870726513,990.7296132,0,0,
61.04,0.603251576,3.646311045,9.242438316,990.7243652,9.868485016,990.7295457,0,0,
61.08,0.51006186,3.660610437,9.164322853,990.7369995,9.866551462,990.7295125,0,0,
61.12,0.698880553,3.822673082,9.301621437,990.7319336,9.865614067,990.7294914,0,0,
61.16,0.753864765,3.805989742,9.330029488,990.7647095,9.865646196,990.7295991,0,0,
61.2,0.581808209,3.617710352,9.36790657,990.7266846,9.866370749,990.7296833,0,0,
61.24,0.610503495,3.672525167,8.963116646,990.7470703,9.866431989,990.7298199,0,0,
61.28,0.672657371,3.715423822,9.128821373,990.7520142,9.8665309,990.73002,0,0,
61.32,0.534059525,3.558127165,9.140658379,990.734436,9.866462644,990.7302123,0,0,
61.36,0.665520489,3.665374041,9.128825188,990.739502,9.866377919,990.7304152,0,0,
61.4,0.753743172,3.775009871,8.861311913,990.7294312,9.86556495,990.7305905,0,0,
61.44,0.834783077,3.853663206,8.963082314,990.7243652,9.864581986,990.7307225,0,0,
61.48,0.887359619,3.922778368,8.847088814,990.711792,9.863187046,990.7307706,0,0,
61.52,0.825220823,3.863196373,9.128785133,990.7445679,9.86225569,990.7308623,0,0,
61.56,0.729623556,3.829830408,8.93467617,990.6940308,9.861022321,990.7308103,0,0,
61.6,0.822828412,3.956144333,8.842354774,990.7218628,9.859431676,990.7307317,0,0,
61.64,0.839556456,3.960911274,8.726361275,990.7167358,9.857163972,990.7306115,0,0,
61.68,0.858674526,3.901329279,9.161927223,990.7747192,9.855656177,990.7306635,0,0,
61.72,0.901691437,3.941845179,8.982019424,990.7419434,9.854304503,990.7307497,0,0,
61.76,0.9303689,3.989510775,8.735829353,990.6965332,9.852369813,990.7307022,0,0,
61.8,0.947096944,3.951378107,8.832884789,990.7369995,9.850193383,990.7306825,0,0,
61.84,1.083320141,3.932312012,8.892064095,990.7369385,9.84802809,990.7306871,0,0,
61.88,1.121557236,3.832214117,9.079073906,990.7368164,9.846367932,990.7307129,0,0,
61.92,0.992501378,3.875113249,8.809212685,990.7091675,9.844283746,990.7306576,0,0,
61.96,1.059417367,3.879879951,9.195066452,990.739502,9.843133012,990.7306401,0,0,
62,1.068975687,3.822681189,9.590390205,990.734314,9.844046649,990.7306375,0,0,
62.04,1.05224514,3.951378345,8.90626812,990.7218628,9.844695774,990.7306032,0,0,
62.08,0.899290085,3.879879713,8.863657951,990.7318726,9.844810842,990.7305769,0,0,
62.12,0.679417849,3.83936429,8.7358284,990.7495728,9.843910423,990.7306217,0,0,
62.16,0.550361872,3.782165766,8.818680763,990.7799072,9.842277359,990.7308382,0,0,
62.2,0.493002951,3.739266396,9.360770226,990.7520752,9.841733509,990.7311056,0,0,
62.24,0.414134979,3.646319151,9.675607681,990.7799072,9.843076115,990.7315171,0,0,
62.28,0.540798485,3.763099432,9.680342674,990.734436,9.846267781,990.7318907,0,0,
62.32,0.720039845,3.979978085,9.389176369,990.7368164,9.850445152,990.7322381,0,0,
62.36,0.753512502,3.95614481,9.221106529,990.729248,9.854898554,990.7325339,0,0,
62.4,0.782206297,4.010959625,9.045934677,990.7294312,9.859090104,990.7327837,0,0,
62.44,0.626862705,3.903712034,9.003325462,990.7494507,9.862700543,990.7330639,0,0,
62.48,0.282716751,3.577203035,9.353671074,990.7319336,9.866451086,990.733307,0,0,
62.52,0.299446106,3.601035833,9.183232307,990.7393188,9.869772726,990.733543,0,0,
62.56,0.533656478,3.810764551,9.029364586,990.7294312,9.872510893,990.7337363,0,0,
62.6,0.662711203,3.825063944,9.067239761,990.7294312,9.874897256,990.7338911,0,0,
62.64,0.717678905,3.848896742,8.922841072,990.7217407,9.876534727,990.7339838,0,0,
62.68,0.605353594,3.691600561,8.970184326,990.7520752,9.877414396,990.7341303,0,0,
62.72,0.624472797,3.648701429,8.99148941,990.7496338,9.877638208,990.7343152,0,0,
62.76,0.631642461,3.617718935,9.067238808,990.7570801,9.877494271,990.73456,0,0,
62.8,0.672270834,3.565286398,8.93467617,990.7039795,9.876523689,990.7346658,0,0,
62.84,0.849123478,3.684450626,9.071974754,990.739502,9.875492736,990.7347763,0,0,
62.88,0.994907618,3.789314985,9.043566704,990.7420044,9.874510532,990.7348995,0,0,
62.92,1.009247065,3.834597111,9.067239761,990.7319336,9.87372124,990.7349972,0,0,
62.96,1.025976419,3.863196373,9.069606781,990.7721558,9.873159248,990.7352169,0,0,
63,0.887362003,3.839363813,9.034098625,990.7294312,9.872601319,990.7353897,0,0,
63.04,0.751137733,3.710666656,9.164294243,990.7218628,9.872262837,990.7354933,0,0,
63.08,0.624472797,3.66061759,9.218741417,990.7041016,9.872202476,990.7354714,0,0,
63.12,0.677050591,3.763098717,8.818682671,990.7420044,9.871212019,990.7354751,0,0,
63.16,0.734408259,3.779781818,9.230576515,990.7242432,9.87080582,990.7354375,0,0,
63.2,0.786986113,3.815531015,8.951247215,990.7218628,9.870056268,990.7353549,0,0,
63.24,0.863462925,3.910861969,8.882597923,990.7142944,9.868939311,990.7352057,0,0,
63.28,0.794155836,3.853663445,9.093278885,990.7217407,9.868093102,990.735025,0,0,
